gols_mandante,gols_visitante,att_m,def_v,att_v,def_m,pred_gols_mandante,pred_gols_visitante
4,1,1.4,1.6,1.0,0.6,1.617233754827202,0.8794535081909113
0,0,0.8,1.2,0.6,1.6,1.4319708901530077,0.9467862241558722
0,2,0.8,1.2,1.0,1.6,1.4319708901530077,1.0086083910181172
1,1,1.2,1.6,1.2,1.4,1.579199654913255,1.0128752566955892
1,2,1.2,1.0,1.8,1.6,1.4645022213561352,1.1446266946617105
2,1,1.6,1.2,2.2,1.0,1.574987883669843,1.1231265713770577
3,0,1.2,1.8,1.4,1.4,1.6193946828774957,1.0454211577055068
3,3,1.4,1.2,1.6,1.8,1.5379473220615085,1.1398048093163187
2,0,1.6,0.8,0.6,0.4,1.4977725951732745,0.8032307030484174
1,1,1.4,2.2,1.2,1.4,1.7438928738341077,1.0128752566955892
4,3,1.0,1.4,1.6,0.8,1.5037845376168277,0.9938498897418983
1,4,0.4,1.0,2.0,2.0,1.3315178937503573,1.24796690963354
1,0,0.8,1.4,1.4,1.2,1.4684185361454585,1.017160173127816
3,0,1.6,0.8,1.8,2.2,1.4977725951732745,1.242709690505976
5,1,2.0,1.8,2.2,0.8,1.7811304838319,1.0927649678467195
2,1,0.8,1.0,0.2,1.2,1.396427911914124,0.8413513717343789
2,0,1.4,1.2,1.2,1.8,1.5379473220615085,1.0699410210121056
0,2,1.4,0.4,1.8,1.4,1.390845167828789,1.113683875945428
1,1,2.4,1.0,1.4,1.2,1.6892914197462083,1.017160173127816
2,1,0.6,1.2,0.4,0.8,1.3982938018858497,0.822070102746083
4,3,1.4,1.6,0.4,0.4,1.617233754827202,0.7782246404134153
2,0,0.8,1.8,1.0,2.4,1.544120522727115,1.125460688186594
1,0,1.4,0.8,1.0,1.4,1.4625479825511625,0.9813425699914471
4,1,2.2,1.2,1.8,2.4,1.691548630370927,1.2772373886264599
0,0,0.6,1.2,0.8,0.8,1.3982938018858497,0.8757486985766706
3,3,2.0,1.2,1.2,1.2,1.6517667933762483,0.9854940890220514
3,0,1.2,0.6,2.4,1.2,1.3927035982058482,1.1914229558332212
2,1,2.0,1.6,1.0,2.0,1.7369210083022089,1.0654337585537748
0,0,1.4,2.4,1.0,1.4,1.7882798027523843,0.9813425699914471
0,2,0.8,0.6,2.2,1.4,1.3279666969415571,1.1864039352934341
2,1,1.0,1.6,1.8,2.0,1.542060040878017,1.2091153834278427
1,2,2.0,0.8,2.0,0.4,1.5707873453423902,1.0022765375692493
1,1,1.2,1.8,1.2,1.2,1.6193946828774957,0.9854940890220514
2,0,0.4,2.6,0.6,1.0,1.6280673077430907,0.8720594959435266
1,1,1.4,1.8,1.8,1.2,1.6583968565273248,1.0835775378341967
2,1,2.0,1.6,0.8,1.6,1.7369210083022089,0.9772085397620984
1,1,0.4,0.6,1.4,0.8,1.266238954546893,0.9629094980233589
3,0,1.0,1.4,1.2,1.0,1.5037845376168277,0.9588531194511033
5,2,2.4,0.6,0.6,1.0,1.6064722909878666,0.8720594959435266
1,1,1.4,0.6,2.0,1.8,1.42624604968744,1.2142304835753284
2,3,2.0,0.8,1.6,1.8,1.5707873453423902,1.1398048093163187
2,1,1.0,3.0,0.4,1.8,1.8387003697620117,0.942797766922813
1,0,0.6,1.8,0.4,0.6,1.5078058996460166,0.799846991682903
0,3,1.2,2.4,2.8,1.2,1.7462230422569018,1.2692191329424733
2,3,2.2,0.8,1.2,0.6,1.6086188397012193,0.907712276120325
0,0,1.8,0.8,0.6,1.8,1.5338455719852668,0.9730919246602086
0,2,0.6,1.6,2.2,1.0,1.4703806191126587,1.1231265713770577
0,0,1.4,1.2,1.6,1.2,1.5379473220615085,1.0498437578901176
